Ref,Slow_year1Fast_year1Rapid_year1 infra costSlow_year2Fast_year2Rapid_year2 infra costSlow_year3Fast_year3Rapid_year3 infra costSlow_year4Fast_year4Rapid_year4 infra cost,,,,,,,,,,,,,423.6km
61,1,0,0,1,0,0,1,0,0,1,0,0,,
75,0,0,0,0,1,0,1,1,0,1,1,0,,
76,1,0,0,1,0,0,1,0,0,1,1,0,,
77,0,1,0,0,1,0,0,1,0,0,1,0,,
88,1,0,0,1,0,0,1,0,0,1,1,0,,
89,1,0,0,1,0,0,1,0,0,1,0,0,,
90,1,0,0,1,0,0,1,0,0,1,0,0,,
91,1,0,0,1,0,0,1,0,0,1,0,0,,
101,0,1,0,0,1,0,0,1,0,0,1,0,,
102,0,0,0,1,0,0,1,0,0,1,0,0,,
103,1,1,0,1,1,0,1,1,0,1,1,0,,
104,0,1,0,0,1,0,1,1,0,1,1,0,,
105,1,0,0,1,0,0,1,0,0,1,0,0,,
106,0,0,0,0,0,0,1,0,0,1,0,0,,
107,1,0,0,1,0,0,1,0,0,1,0,0,,
109,0,0,0,0,0,0,0,0,0,0,0,0,,
115,0,1,0,0,1,0,1,1,0,1,1,0,,
116,0,1,0,0,1,0,0,1,0,1,1,0,,
117,2,0,0,2,0,1,2,0,1,2,0,1,,
119,1,0,0,1,1,0,1,1,0,1,1,1,,
121,1,0,0,1,1,0,1,2,0,1,2,0,,
123,0,0,0,0,0,0,0,0,0,0,0,0,,
129,0,1,0,0,1,0,0,1,0,1,1,0,,
134,0,2,1,0,2,1,0,2,1,0,2,1,,
143,0,1,0,0,1,0,0,1,0,0,1,0,,
144,1,0,0,1,0,0,1,0,0,1,0,0,,
145,2,0,0,2,0,0,2,0,0,2,0,0,,
146,1,1,0,2,1,0,2,1,0,2,2,0,,
147,1,0,1,1,0,1,1,0,1,1,0,1,,
148,0,1,0,0,1,0,0,1,0,0,1,0,,
149,0,0,0,0,1,0,0,1,0,0,1,0,,
150,1,0,0,1,0,0,1,0,0,1,0,0,,
156,0,0,0,0,0,0,0,0,0,1,0,0,,
157,0,0,0,0,0,0,0,1,0,0,1,0,,
159,1,0,0,1,0,0,1,0,0,1,0,0,,
160,3,0,1,3,0,1,3,0,1,3,0,1,,
161,1,0,0,1,1,0,1,1,0,1,1,1,,
162,0,1,0,0,1,0,0,1,0,0,1,0,,
163,1,0,0,1,0,0,1,0,0,1,0,0,,
164,1,0,0,1,0,0,1,0,0,1,0,0,,
171,0,0,0,0,0,0,1,1,0,2,1,0,,
172,1,0,0,1,0,0,1,0,0,1,1,0,,
173,2,0,0,2,0,0,2,0,0,2,0,0,,
175,0,1,0,1,1,0,1,1,0,1,1,1,,
176,0,1,0,0,1,0,0,1,1,0,1,1,,
177,0,0,0,0,1,0,0,1,0,0,1,0,,
178,1,0,0,1,0,0,1,0,0,1,0,0,,
184,1,0,0,1,0,1,1,0,1,1,0,1,,
185,2,0,0,2,0,0,2,1,1,2,1,1,,
186,2,1,0,2,1,0,4,1,0,4,1,1,,
187,1,1,0,1,1,0,2,1,0,3,1,0,,
188,1,1,0,1,1,0,1,1,0,1,1,0,,
189,6,0,1,6,0,1,6,0,1,6,0,1,,
190,2,0,1,2,0,1,2,0,1,2,0,1,,
191,1,1,0,1,1,0,1,1,0,1,1,0,,
192,0,0,0,0,0,0,1,0,0,1,1,0,,
198,0,0,0,0,1,0,0,1,1,0,1,1,,
199,1,1,1,1,2,1,1,2,1,2,2,1,,
200,6,2,0,6,2,1,6,2,1,6,2,1,,
201,0,1,0,0,1,0,1,1,0,1,1,1,,
202,1,0,0,1,0,0,1,0,1,1,0,1,,
203,1,1,0,1,1,0,1,1,0,1,1,0,,
205,1,1,0,1,1,0,1,1,0,1,1,0,,
206,0,0,0,0,0,0,1,0,0,1,0,0,,
213,1,0,0,1,0,1,1,1,1,1,1,1,,
214,0,3,0,0,3,1,0,3,1,0,3,1,,
215,0,1,0,0,1,0,0,1,1,0,1,1,,
216,0,0,0,0,1,0,0,1,0,0,1,0,,
217,0,0,0,0,0,0,0,1,0,0,1,0,,
228,2,1,0,2,1,1,2,1,1,2,1,1,,
229,1,1,0,1,1,0,1,2,0,1,2,1,,
230,1,1,0,1,1,0,1,1,0,1,1,0,,
233,0,0,0,0,0,0,1,0,0,1,1,0,,
234,0,0,0,0,0,0,1,0,0,1,0,0,,
242,1,0,0,1,0,0,1,0,0,1,0,0,,
246,0,0,0,0,0,0,0,0,0,0,1,0,,
247,0,0,0,0,0,0,0,1,0,0,1,0,,
248,1,0,0,1,0,0,1,0,0,1,0,0,,
249,1,0,0,1,0,0,1,0,0,1,0,0,,
263,1,0,1,1,0,1,1,0,1,1,0,1,,
272,1,0,0,1,0,0,1,0,0,1,0,0,,
274,1,0,0,1,0,0,1,0,0,1,0,0,,
275,1,0,0,1,0,0,1,0,0,1,0,0,,
286,1,0,0,1,0,0,1,0,0,1,0,0,,
287,0,1,0,0,1,0,0,1,0,0,1,0,,
288,0,0,0,0,1,0,0,1,0,0,1,0,,
290,0,1,0,0,1,0,0,1,0,0,1,0,,
291,1,0,0,1,0,0,1,0,0,1,0,0,,
299,1,0,0,1,0,0,1,0,0,1,0,0,,
300,1,0,0,1,0,0,1,0,0,1,0,0,,
301,1,0,0,1,0,0,1,0,0,1,0,0,,
304,2,0,0,2,0,0,2,0,0,2,0,0,,
316,0,1,0,0,1,0,0,1,0,0,1,0,,
327,0,0,0,0,0,0,0,0,0,1,0,0,,
328,0,0,0,0,0,0,0,0,0,0,1,0,,
331,0,0,0,0,0,0,1,0,0,1,0,0,,
342,1,0,0,1,0,0,1,0,0,1,0,0,,
343,0,1,0,0,1,0,0,1,0,1,1,0,,
345,0,0,0,0,0,0,0,0,0,1,0,0,,
355,0,0,0,0,1,0,1,1,1,3,1,1,,
356,0,1,0,0,1,0,0,1,0,0,1,0,,
369,0,2,1,0,2,1,0,2,1,2,2,1,,
382,0,0,0,0,1,0,0,1,0,0,1,0,,
385,0,0,0,0,0,0,0,0,0,0,0,0,,
397,0,1,0,0,1,0,0,1,0,0,1,0,,
399,0,0,0,0,0,0,0,0,0,0,0,0,,
400,0,0,0,0,0,0,0,0,0,0,0,0,,
412,0,0,0,0,0,0,0,0,0,1,0,0,,
