Ref,Slow_year1Fast_year1Rapid_year1 infra costSlow_year2Fast_year2Rapid_year2 infra costSlow_year3Fast_year3Rapid_year3 infra costSlow_year4Fast_year4Rapid_year4 infra cost,,,,,,,,,,,
61,0,1,0,0,1,0,1,1,0,1,1,0
75,1,0,0,1,0,0,1,0,0,1,0,0
76,1,0,0,1,0,0,1,1,1,1,1,1
77,1,0,0,1,0,0,1,0,0,1,0,0
88,0,1,0,0,1,0,0,1,0,0,1,0
89,1,0,0,1,0,0,1,1,0,1,1,0
90,1,0,0,1,0,0,2,0,0,2,0,1
91,1,1,0,1,1,0,1,1,0,1,1,1
101,0,0,0,0,0,0,0,1,0,0,1,0
102,1,0,0,1,0,0,1,0,0,1,0,1
103,1,1,0,1,1,0,1,1,6,1,1,7
104,0,1,0,0,1,0,0,1,0,0,1,0
105,1,0,0,1,0,0,1,1,0,1,1,0
106,0,1,0,0,1,0,0,1,0,0,1,0
107,1,0,0,1,0,0,1,0,0,1,0,1
109,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,1,0,1,1,1
116,1,0,0,1,0,0,1,0,1,1,0,1
117,2,0,0,2,0,0,2,0,0,2,0,0
119,1,1,0,1,1,1,1,1,1,1,1,1
121,1,0,0,1,0,1,1,0,1,1,0,1
123,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,1,0,1,1,0
134,0,2,2,0,3,2,0,3,2,0,3,2
143,0,0,0,0,0,0,0,1,0,0,1,0
144,1,0,0,1,0,0,1,0,0,1,0,0
145,0,1,0,0,1,0,0,1,0,0,1,1
146,1,1,1,1,1,1,1,1,1,1,1,1
147,1,0,1,1,0,1,1,0,1,1,0,1
148,0,0,0,0,0,1,0,0,1,0,0,1
149,0,1,0,0,1,0,0,1,0,0,1,0
150,1,0,0,1,0,0,1,0,0,1,0,0
156,0,0,0,0,0,0,0,0,0,0,1,0
157,0,0,0,0,0,0,1,0,0,1,0,0
159,1,0,0,1,0,0,1,0,0,1,0,0
